//mob_skill_db.txtへオーバーライド
//MOB_ID,ダミー文字列,STATE,SKILL_ID,SKILL_LV,万分率,casttime,delay,妨害可能,ターゲット,条件タイプ,条件値,値1,値2,値3,値4,値5,使用時エモーション
20801,深海のスロフォ＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
20801,深海のスロフォ＠テレポート,walk,26,1,5000,0,5000,yes,self,rudeattacked,,,,,,,
20801,深海のスロフォ＠インビジブル,idle,353,1,10000,0,5000,no,self,always,0,,,,,,5
20801,深海のスロフォ＠インビジブル,chase,353,1,2000,0,5000,no,self,always,0,,,,,,
20801,深海のスロフォ＠Mレイオブジェネシス,attack,737,7,2000,200,2000,no,target,always,0,,,,,,
20801,深海のスロフォ＠ヒール,idle,28,11,2000,0,200,no,self,always,0,,,,,,
20801,深海のスロフォ＠コンボアタック,attack,171,4,2000,0,10000,no,target,always,0,,,,,,
20801,深海のスロフォ＠ホーリーアタック,attack,189,1,2000,0,300,no,target,always,0,,,,,,
20804,深海のマルス＠コールドボルト,attack,14,10,2000,500,1000,no,target,always,0,,,,,,
20804,深海のマルス＠ウォーターアタック,attack,184,1,2000,0,200,no,target,always,0,,,,,,
20804,深海のマルス＠コンボアタック,attack,171,4,2000,0,400,no,target,always,0,,,,,,
20804,深海のマルス＠ヒール,idle,28,11,2000,0,300,no,self,always,0,,,,,,
20802,深海のオボンヌ＠フロストノヴァ,attack,88,10,2000,0,1200,no,self,always,0,,,,,,
20802,深海のオボンヌ＠Mイグニッションブレイク,attack,740,1,2000,200,200,no,self,always,0,,,,,,
20802,深海のオボンヌ＠カウンターヒール,attack,687,10,2000,0,1000,no,self,always,0,,,,,,
20802,深海のオボンヌ＠カースアタック,attack,181,1,2000,0,10000,no,target,always,0,,,,,,
20802,深海のオボンヌ＠コンボアタック,attack,171,4,2000,0,1000,no,target,always,0,,,,,,
20802,深海のオボンヌ＠ウォーターアタック,chase,184,1,2000,0,1000,no,target,always,0,,,,,,
20805,深海の半漁人＠ヒール,idle,28,11,2000,0,31000,no,self,always,0,,,,,,
20805,深海の半漁人＠コールドボルト,attack,14,9,2000,0,500,no,target,always,0,,,,,,
20805,深海の半漁人＠ウォーターアタック,attack,184,1,2000,0,500,no,target,always,0,,,,,,
20805,深海の半漁人＠コンボアタック,attack,171,4,2000,0,1000,no,target,always,0,,,,,,

2674,怒りのサンドマン＠Mサイキックウェーブ,attack,736,1,5000,700,5000,no,target,always,0,,,,,,









//1-1
30008,セニアちゃん＠ファイアーアタック,attack,186,3,500,0,5000,yes,target,always,0,,,,,,
30008,セニアちゃん＠マグナムブレイク,attack,7,9,5000,500,5000,no,self,attackpcge,2,,,,,,
30008,セニアちゃん＠プロボック,chase,6,9,500,600,5000,no,target,always,0,,,,,,6
30008,セニアちゃん＠バッシュ,attack,5,9,10000,800,1000,no,target,skillused,5,,,,,,32
30008,セニアちゃん＠バッシュ,attack,5,9,1000,800,5000,no,target,always,0,,,,,,32
30008,セニアちゃん＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30008,セニアちゃん＠クリティカルスラッシュ,attack,170,1,1000,0,5000,yes,target,always,0,,,,,,
30008,セニアちゃん＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30008,セニアちゃん＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30008,セニアちゃん＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,

30009,ヒュッケちゃん＠石投げ,chase,152,1,4000,0,3000,yes,target,always,0,,,,,,
30009,ヒュッケちゃん＠ポイズンアタック,attack,188,3,500,0,5000,yes,target,always,0,,,,,,
30009,ヒュッケちゃん＠ポイズンブロー,attack,176,5,1000,800,5000,no,target,always,0,,,,,,
30009,ヒュッケちゃん＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30009,ヒュッケちゃん＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30009,ヒュッケちゃん＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30009,ヒュッケちゃん＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30009,ヒュッケちゃん＠インベナム,attack,52,9,500,1000,5000,no,target,always,0,,,,,,
30009,ヒュッケちゃん＠インベナム,attack,52,9,10000,1000,1000,no,target,skillused,52,,,,,,

30010,アルマイアちゃん＠グラウンドアタック,attack,185,3,500,0,5000,yes,target,always,0,,,,,,
30010,アルマイアちゃん＠メマーナイト,attack,42,9,10000,800,1000,no,target,skillused,42,,,,,,8
30010,アルマイアちゃん＠メマーナイト,attack,42,9,1000,800,5000,no,target,always,0,,,,,,8
30010,アルマイアちゃん＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30010,アルマイアちゃん＠スタンアタック,attack,179,3,500,0,5000,yes,target,always,0,,,,,,
30010,アルマイアちゃん＠エモーション,idle,197,1,2000,0,5000,yes,self,always,0,8,,,,,
30010,アルマイアちゃん＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30010,アルマイアちゃん＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30010,アルマイアちゃん＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,

30011,イレンドくん＠ヒール,attack,28,5,10000,500,5000,yes,self,myhpltmaxrate,30,,,,,,3
30011,イレンドくん＠速度減少,chase,30,1,2000,1000,20000,no,target,always,0,,,,,,29
30011,イレンドくん＠速度減少,attack,30,1,500,1000,5000,no,target,always,0,,,,,,29
30011,イレンドくん＠ホーリーアタック,attack,189,3,500,0,5000,yes,target,always,0,,,,,,
30011,イレンドくん＠サイレンスアタック,attack,178,4,1000,700,5000,no,target,always,0,,,,,,
30011,イレンドくん＠ヒール,idle,28,5,10000,500,5000,yes,self,myhpltmaxrate,30,,,,,,3
30011,イレンドくん＠ヒール,idle,28,5,10000,500,5000,yes,friend,friendhpltmaxrate,60,,,,,,3
30011,イレンドくん＠ヒール,chase,28,5,10000,500,5000,yes,self,myhpltmaxrate,30,,,,,,3
30011,イレンドくん＠ヒール,chase,28,5,10000,500,5000,yes,friend,friendhpltmaxrate,60,,,,,,3
30011,イレンドくん＠ヒール,attack,28,5,10000,500,5000,yes,friend,friendhpltmaxrate,60,,,,,,3
30011,イレンドくん＠ニューマ,idle,25,1,5000,0,10000,yes,self,longrangeattacked,,,,,,,22
30011,イレンドくん＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,

30012,イカルスくん＠ウィンドアタック,attack,187,3,500,0,5000,yes,target,always,0,,,,,,
30012,イカルスくん＠ピアーシングアタック,attack,158,5,500,0,5000,yes,target,always,0,,,,,,
30012,イカルスくん＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30012,イカルスくん＠ダブルストレイフィング,chase,46,1,2000,1000,5000,no,target,always,0,,,,,,
30012,イカルスくん＠ダブルストレイフィング,attack,46,1,10000,1000,1000,no,target,skillused,46,,,,,,
30012,イカルスくん＠ダブルストレイフィング,attack,46,1,1000,1000,5000,no,target,always,0,,,,,,
30012,イカルスくん＠エモーション,idle,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30012,イカルスくん＠エモーション,chase,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30012,イカルスくん＠エモーション,attack,197,1,10000,0,5000,yes,self,skillused,28,15,,,,,
30012,イカルスくん＠アローシャワー,attack,47,5,2000,1000,5000,no,target,attackpcge,2,,,,,,

30013,ラウレルくん＠ソウルストライク,idle,13,9,5000,0,1000,yes,anothertarget,always,0,,,,,,
30013,ラウレルくん＠ライトニングボルト,idle,20,9,1000,1000,5000,no,anothertarget,always,0,,,,,,
30013,ラウレルくん＠ライトニングボルト,chase,20,7,10000,1000,20000,no,target,always,0,,,,,,
30013,ラウレルくん＠ライトニングボルト,attack,20,7,10000,1000,20000,no,target,always,0,,,,,,
30013,ラウレルくん＠フロストダイバー,chase,15,9,10000,500,20000,yes,target,always,0,,,,,,2
30013,ラウレルくん＠ファイアーウォール,chase,18,5,500,500,5000,yes,target,always,0,,,,,,2
30013,ラウレルくん＠テレポート,idle,26,1,10000,0,0,yes,self,rudeattacked,,,,,,,
30013,ラウレルくん＠ソウルストライク,attack,13,9,5000,0,1000,yes,target,always,0,,,,,,
30013,ラウレルくん＠ソウルストライク,attack,13,5,3000,0,1000,yes,target,always,0,,,,,,
