// ホムンクルス経験値テーブル
//初期8種,進化8種,変異5種,予約2,予約3,予約4
5,5,5,5,0,0
6,6,6,6,0,0
8,8,8,8,0,0
11,11,11,11,0,0
15,15,15,15,0,0
30,30,30,30,0,0
36,36,36,36,0,0
43,43,43,43,0,0
51,51,51,51,0,0
60,60,60,60,0,0
97,97,97,97,0,0
116,116,116,116,0,0
139,139,139,139,0,0
166,166,166,166,0,0
197,197,197,197,0,0
271,271,271,271,0,0
315,315,315,315,0,0
366,366,366,366,0,0
424,424,424,424,0,0
489,489,489,489,0,0
570,570,570,570,0,0
645,645,645,645,0,0
721,721,721,721,0,0
798,798,798,798,0,0
876,876,876,876,0,0
965,965,965,965,0,0
1047,1047,1047,1047,0,0
1130,1130,1130,1130,0,0
1214,1214,1214,1214,0,0
1299,1299,1299,1299,0,0
1405,1405,1405,1405,0,0
1496,1496,1496,1496,0,0
1589,1589,1589,1589,0,0
1684,1684,1684,1684,0,0
1781,1781,1781,1781,0,0
1908,1908,1908,1908,0,0
2017,2017,2017,2017,0,0
2129,2129,2129,2129,0,0
2244,2244,2244,2244,0,0
2362,2362,2362,2362,0,0
2527,2527,2527,2527,0,0
2659,2659,2659,2659,0,0
2796,2796,2796,2796,0,0
2938,2938,2938,2938,0,0
3085,3085,3085,3085,0,0
3299,3299,3299,3299,0,0
3471,3471,3471,3471,0,0
3650,3650,3650,3650,0,0
3836,3836,3836,3836,0,0
4029,4029,4029,4029,0,0
4328,4328,4328,4328,0,0
4553,4553,4553,4553,0,0
4789,4789,4789,4789,0,0
5036,5036,5036,5036,0,0
5294,5294,5294,5294,0,0
5712,5712,5712,5712,0,0
6027,6027,6027,6027,0,0
6358,6358,6358,6358,0,0
6705,6705,6705,6705,0,0
7068,7068,7068,7068,0,0
7695,7695,7695,7695,0,0
8144,8144,8144,8144,0,0
8624,8624,8624,8624,0,0
9135,9135,9135,9135,0,0
9677,9677,9677,9677,0,0
10617,10617,10617,10617,0,0
11291,11291,11291,11291,0,0
12012,12012,12012,12012,0,0
12780,12780,12780,12780,0,0
13595,13595,13595,13595,0,0
15099,15099,15099,15099,0,0
16122,16122,16122,16122,0,0
17228,17228,17228,17228,0,0
18417,18417,18417,18417,0,0
19689,19689,19689,19689,0,0
22095,22095,22095,22095,0,0
23732,23732,23732,23732,0,0
25502,25502,25502,25502,0,0
27405,27405,27405,27405,0,0
29441,29441,29441,29441,0,0
33531,33531,33531,33531,0,0
36192,36192,36192,36192,0,0
39108,39108,39108,39108,0,0
42279,42279,42279,42279,0,0
45705,45705,45705,45705,0,0
53067,53067,53067,53067,0,0
57682,57682,57682,57682,0,0
