//階層,名称,ID,MAX
1,剣士系
2,バッシュ,5,10
2,マグナムブレイク,7,10
2,ボウリングバッシュ,62,10
2,チャージアタック,1001,1
2,シールドチャージ,250,5
2,シールドブーメラン,251,5
2,ホーリークロス,253,10
2,グランドクロス,254,10
2,3次系(リプロデュース)
3,ソニックウェーブ,2002,5
3,ハンドレットスピア,2004,10
3,ウィンドカッター,2005,5
3,イグニッションブレイク,2006,5
3,ドラゴンブレス,2008,10
3,ファントムスラスト,2020,5
3,キャノンスピア,2307,5
3,バニシングポイント,2308,10
3,シールドプレス,2310,5
3,ピンポイントアタック,2312,5
3,シールドスペル,2315,3
3,オーバーブランド,2317,5
3,ムーンスラッシャー,2320,5
3,レイオブジェネシス,2321,5
3,アースドライブ,2323,5
1,アーチャー系
2,ダブルストレイフィング,46,10
2,アローシャワー,47,10
2,チャージアロー,148,1
2,ランドマイン,116,5
2,フリージングトラップ,121,5
2,ブラストマイン,122,5
2,クレイモアトラップ,123,5
2,ファンタズミックアロー,1009,1
2,3次系(リプロデュース)
3,アローストーム,2233,10
3,エイムドボルト,2236,10
3,クラスターボム,2239,5
3,ウォーグダッシュ,2242,1
3,ウォーグストライク,2243,5
3,ウォーグバイト,2244,5
3,ファイアリングトラップ,2253,5
3,アイスバウンドトラップ,2254,5
3,メタリックサウンド,2413,5
3,振動残響,2414,5
3,ドミニオンインパルス,2417,1
3,シビアレインストーム,2418,5
1,マジシャン系
2,ナパームビート,11,10
2,ソウルストライク,13,10
2,コールドボルト,14,10
2,フロストダイバー,15,10
2,ファイアーボール,17,10
2,ファイアーウォール,18,10
2,ファイアーボルト,19,10
2,ライトニングボルト,20,10
2,サンダーストーム,21,10
2,ファイアーピラー,80,10
2,サイトラッシャー,81,10
2,メテオストーム,83,10
2,ユピテルサンダー,84,10
2,ロードオブヴァーミリオン,85,10
2,ウォーターボール,86,5
2,フロストノヴァ,88,10
2,ストームガスト,89,10
2,アーススパイク,90,5
2,ヘヴンズドライブ,91,5
2,サイトブラスター,1006,1
2,3次系(リプロデュース)
3,ソウルエキスパンション,2202,5
3,フロストミスティ,2203,5
3,ジャックフロスト,2204,5
3,ドレインライフ,2210,5
3,クリムゾンロック,2211,5
3,ヘルインフェルノ,2212,5
3,コメット,2213,5
3,チェーンライトニング,2214,5
3,アースストレイン,2215,5
3,テトラボルテックス,2216,5
3,ファイヤーウォーク,2443,5
3,エレクトリックウォーク,2443,5
3,アースグレイブ,2446,5
3,ダイヤモンドダスト,2447,5
3,ポイズンバスター,2448,5
3,サイキックウェーブ,2449,5
3,クラウドキル,2450,5
3,ヴェラチュールスピア,2454,5
1,商人系
2,メマーナイト,42,10
2,デモンストレーション,229,5
2,アシッドテラー,230,5
2,3次系(リプロデュース)
3,ブーストナックル,2256,5
3,パイルバンカー,2257,5
3,バルカンアーム,2258,5
3,フレイムスローワー,2259,5
3,コールドスローワー,2260,5
3,アームズキャノン,2061,3
3,アックスブーメラン,2278,5
3,パワースイング,2279,5
3,アックストルネード,2280,5
3,カートトルネード,2476,5
3,カートキャノン,2477,5
3,ソーントラップ,2479,5
3,ブラッドサッカー,2480,5
3,スポアエクスプロージョン,2481,5
3,クレイジーウィード,2483,5
3,ヘルズプラント,2490,5
3,スリングアイテム,2493,5
1,シーフ系
2,インベナム,52,10
2,砂まき,149,1
2,石投げ,152,1
2,ベナムスプラッシャー,141,10
2,インティミデイト,219,5
2,ベナムナイフ,1004,1
2,3次系(リプロデュース)
3,クロスインパクト,2022,5
3,ダークイリュージョン,2023,5
3,カウンタースラッシュ,2029,5
3,ベナムプレッシャー,2031,5
3,ファントメナス,2034,5
3,ローリングカッター,2036,5
3,クロスリッパースラッシャー,2037,5
1,アコライト系
2,ルアフ,24,1
2,ヒール,28,10
2,ホーリーライト,156,1
2,リザレクション,54,4
2,アスペルシオ,68,5
2,聖体降福,69,5
2,ターンアンデッド,77,10
2,マグヌスエクソシズム,79,10
2,三段掌,263,10
2,発勁,266,5
2,連打拳,272,5
2,猛龍拳,273,5
2,指弾,267,5
2,阿修羅覇凰拳,271,5
2,寸勁,1016,1
2,3次系(リプロデュース)
3,ジュテックス,2038,5
3,アドラムス,2040,10
3,ハイネスヒール,2051,5
3,デュプレライト,2054,10
3,双龍脚,2326,5
3,天羅地網,2327,5
3,地雷震,2328,5
3,大纏崩捶,2329,5
3,號砲,2330,5
3,修羅身弾,2336,5
3,旋風腿,2337,5
3,羅刹破凰撃,2343,10
3,獅子吼,2517,5
3,雷光弾,2518,5
1,拡張職
2,ティオアプチャギ,421,7
2,フライング,501,1
2,トリプルアクション,502,1
2,ブルズアイ,503,1
2,マジカルバレット,507,1
2,銭投げ,526,10
2,畳返し,527,5
2,霞斬り,528,10
2,影斬り,530,5
2,紅炎華,534,10
2,火炎陣,535,10
2,龍炎陣,536,5
2,氷閃槍,537,10
2,氷柱落し,539,5
2,風刃,540,10
2,雷撃砕,541,5
2,朔風,542,5
2,十文字斬り,3004,5
2,黄泉返し,3005,5
2,爆裂苦無,3006,5
2,八方苦無,3007,5
2,無茶投げ,3008,5
2,魔手裏剣 -乱華-,3009,5
2,撒菱,3010,5
2,術式 -解放-,3019,1
1,特定武器専用スキル 
2,トマホーク投げ,337,1
